id,created_at,uploaded_at,title,at_canvas,coords,date_entry_canvas,property_type,property_use,surveillance_status,surveillance,canvas_location,canvas_nature,surface_material,graffiti_removal,viewing_potential,accessibility
0,2023-11-27 13:35:31-08:00,2023-11-27 13:40:43-08:00,11/27/2023 Wall,Y,"{'latitude': 47.658577, 'longitude': -122.317607, 'accuracy': 5, 'UTM_Northing': 5278579, 'UTM_Easting': 551238, 'UTM_Zone': '10T'}",11/27/2023,comercial,abandoned,N,[],street,wall,['concrete'],N,medium,['street_Level']
1,2023-11-27 13:34:42-08:00,2023-11-27 13:40:40-08:00,11/27/2023 Wall,Y,"{'latitude': 47.658577, 'longitude': -122.317607, 'accuracy': 5, 'UTM_Northing': 5278579, 'UTM_Easting': 551238, 'UTM_Zone': '10T'}",11/27/2023,comercial,abandoned,N,[],street,wall,['concrete'],N,medium,['street_Level']
2,2023-11-27 13:33:35-08:00,2023-11-27 13:40:37-08:00,11/27/2023 Wall,Y,"{'latitude': 47.658577, 'longitude': -122.317607, 'accuracy': 5, 'UTM_Northing': 5278579, 'UTM_Easting': 551238, 'UTM_Zone': '10T'}",11/27/2023,comercial,abandoned,N,[],street,wall,['concrete'],N,medium,['street_Level']
3,2023-11-27 13:32:35-08:00,2023-11-27 13:40:26-08:00,11/27/2023 Wall,Y,"{'latitude': 47.658577, 'longitude': -122.317607, 'accuracy': 5, 'UTM_Northing': 5278579, 'UTM_Easting': 551238, 'UTM_Zone': '10T'}",11/27/2023,comercial,abandoned,N,[],street,wall,['concrete'],N,medium,['street_Level']
4,2023-11-27 13:06:08-08:00,2023-11-27 13:33:15-08:00,11/27/2023 Wall,Y,"{'latitude': 47.661615, 'longitude': -122.320492, 'accuracy': 10, 'UTM_Northing': 5278914, 'UTM_Easting': 551018, 'UTM_Zone': '10T'}",11/27/2023,comercial,undetermined,Y,"['cameras', 'lights', 'people', 'alarms']",street,wall,['asphalt'],N,medium,['street_Level']
5,2023-11-27 12:46:23-08:00,2023-11-27 13:02:37-08:00,11/27/2023 Concrete Block,Y,"{'latitude': 47.661593, 'longitude': -122.320538, 'accuracy': 4, 'UTM_Northing': 5278912, 'UTM_Easting': 551015, 'UTM_Zone': '10T'}",11/27/2023,comercial,undetermined,Y,"['cameras', 'lights', 'people']",street,concrete_block,['stone'],N,medium,['street_Level']
6,2023-11-27 10:52:40-08:00,2023-11-27 10:59:24-08:00,11/27/2023 Other,Y,"{'latitude': 47.655933, 'longitude': -122.316209, 'accuracy': 40, 'UTM_Northing': 5278286, 'UTM_Easting': 551345, 'UTM_Zone': '10T'}",11/27/2023,public,in_use,Y,"['cameras', 'people', 'guards']",street,other,['metal'],N,medium,['street_Level']
7,2023-11-27 10:50:00-08:00,2023-11-27 10:59:19-08:00,11/27/2023 Ground,Y,"{'latitude': 47.656301, 'longitude': -122.315573, 'accuracy': 14, 'UTM_Northing': 5278327, 'UTM_Easting': 551393, 'UTM_Zone': '10T'}",11/27/2023,public,in_use,Y,"['cameras', 'people']",street,ground,['brick'],N,low,['street_Level']
8,2023-11-27 10:44:18-08:00,2023-11-27 10:59:11-08:00,11/27/2023 Sign,Y,"{'latitude': 47.655932, 'longitude': -122.315758, 'accuracy': 7, 'UTM_Northing': 5278286, 'UTM_Easting': 551379, 'UTM_Zone': '10T'}",11/27/2023,public,in_use,Y,"['cameras', 'people']",street,sign,['stone'],N,medium,['street_Level']
9,2023-11-27 10:39:43-08:00,2023-11-27 10:59:04-08:00,11/27/2023 Electric Box,Y,"{'latitude': 47.655933, 'longitude': -122.31423, 'accuracy': 14, 'UTM_Northing': 5278287, 'UTM_Easting': 551494, 'UTM_Zone': '10T'}",11/27/2023,public,in_use,Y,"['cameras', 'people']",street,electric Box,['metal'],N,medium,['street_Level']
10,2023-11-27 10:35:51-08:00,2023-11-27 10:58:56-08:00,11/27/2023 Electric Box,Y,"{'latitude': 47.655911, 'longitude': -122.312614, 'accuracy': 4, 'UTM_Northing': 5278286, 'UTM_Easting': 551615, 'UTM_Zone': '10T'}",11/27/2023,public,in_use,Y,"['cameras', 'people']",street,electric Box,['metal'],N,medium,['street_Level']
11,2023-11-26 20:24:47-08:00,2023-11-26 20:31:04-08:00,11/26/2023 Garbage,N,"{'latitude': '', 'longitude': '', 'accuracy': '', 'UTM_Northing': '', 'UTM_Easting': '', 'UTM_Zone': ''}",11/26/2023,public,in_use,Y,"['lights', 'people']",street,garbage,['plastic/vinyl'],N,medium,['street_Level']
12,2023-11-26 20:04:19-08:00,2023-11-26 20:30:57-08:00,11/26/2023 Fence,Y,"{'latitude': 47.677467, 'longitude': -122.323997, 'accuracy': 14, 'UTM_Northing': 5280674, 'UTM_Easting': 550740, 'UTM_Zone': '10T'}",11/26/2023,public,in_use,Y,['other'],street,fence,['wood'],N,medium,['street_Level']
13,2023-11-26 19:37:06-08:00,2023-11-26 19:52:38-08:00,11/26/2023 Sign,Y,"{'latitude': 47.620266, 'longitude': -122.319773, 'accuracy': 35, 'UTM_Northing': 5274319, 'UTM_Easting': 551113, 'UTM_Zone': '10T'}",11/26/2023,comercial,in_use,Y,"['cameras', 'lights']",alley,sign,['metal'],N,high,['street_Level']
