id,canvas_id,created_at,uploaded_at,title,num,date_recorded,width,height,type,technique,marker_type,nip_type,other,num_colors,colors,nature_graffiti,transcribable,message,transcription
0,3,2023-11-27 13:40:11-08:00,2023-11-27 13:40:35-08:00,11/27/2023 “Roja”,1,11/27/2023,91,35,piece,spray,,,,2,"['black', 'white']","['Image', 'Text']",Y,writter,“Roja”
1,3,2023-11-27 13:39:13-08:00,2023-11-27 13:40:33-08:00,11/27/2023 Triangle/prism,1,11/27/2023,91,60,piece,spray,,,,3-5,"['black', 'white', 'red', 'gold']",['Image'],Y,other,Triangle/prism
2,3,2023-11-27 13:37:39-08:00,2023-11-27 13:40:29-08:00,11/27/2023,1,11/27/2023,25,32,tag,marker,marker,unknown,,1,['white'],['Text'],N,,
3,3,2023-11-27 13:36:56-08:00,2023-11-27 13:40:27-08:00,11/27/2023,1,11/27/2023,365,121,hollow,spray,,,,3-5,"['white', 'black', 'blue']",['Text'],N,,
4,4,2023-11-27 13:31:49-08:00,2023-11-27 13:33:51-08:00,11/27/2023 Uhkrew,1,11/27/2023,53,23,tag,spray,,,,1,['black'],['Text'],Y,writter,Uhkrew
5,4,2023-11-27 13:30:46-08:00,2023-11-27 13:33:49-08:00,11/27/2023 Quark,1,11/27/2023,40,22,tag,spray,,,,1,['black'],['Text'],Y,writter,Quark
6,4,2023-11-27 13:29:42-08:00,2023-11-27 13:33:47-08:00,11/27/2023 Solid UH23,1,11/27/2023,45,34,tag,spray,,,,1,['black'],['Text'],Y,writter,Solid UH23
7,4,2023-11-27 13:28:33-08:00,2023-11-27 13:33:44-08:00,11/27/2023 Bgone,1,11/27/2023,323,144,throwUp,spray,,,,2,"['blue', 'orange']",['Text'],Y,writter,Bgone
8,4,2023-11-27 13:26:56-08:00,2023-11-27 13:33:42-08:00,11/27/2023 Ssolid,1,11/27/2023,323,160,throwUp,spray,,,,2,"['green', 'black']",['Text'],Y,writter,Ssolid
9,4,2023-11-27 13:25:23-08:00,2023-11-27 13:33:41-08:00,11/27/2023 Ar,1,11/27/2023,31,63,tag,spray,,,,1,['white'],['Text'],Y,writter,Ar
10,4,2023-11-27 13:24:23-08:00,2023-11-27 13:33:38-08:00,11/27/2023,1,11/27/2023,178,92,throwUp,spray,,,,2,"['black', 'white']",['Text'],N,,
11,4,2023-11-27 13:22:53-08:00,2023-11-27 13:33:36-08:00,11/27/2023,1,11/27/2023,272,156,throwUp,spray,,,,2,"['red', 'white']",['Text'],N,,
12,4,2023-11-27 13:20:57-08:00,2023-11-27 13:33:34-08:00,11/27/2023 Me,1,11/27/2023,336,186,throwUp,spray,,,,2,"['red', 'white']",['Text'],Y,writter,Me
13,4,2023-11-27 13:19:16-08:00,2023-11-27 13:33:32-08:00,11/27/2023 Ibu,1,11/27/2023,64,34,tag,spray,,,,1,['white'],['Text'],Y,writter,Ibu
14,4,2023-11-27 13:18:07-08:00,2023-11-27 13:33:30-08:00,11/27/2023 Au,1,11/27/2023,218,134,throwUp,spray,,,,2,"['red', 'white']",['Text'],Y,writter,Au
15,4,2023-11-27 13:16:35-08:00,2023-11-27 13:33:28-08:00,11/27/2023 Rower,1,11/27/2023,220,53,tag,spray,,,,1,['black'],['Text'],Y,writter,Rower
16,4,2023-11-27 13:14:51-08:00,2023-11-27 13:33:25-08:00,11/27/2023 Aim,1,11/27/2023,162,151,piece,spray,,,,2,"['black', 'white']",['Text'],Y,writter,Aim
17,4,2023-11-27 13:13:20-08:00,2023-11-27 13:33:23-08:00,11/27/2023 Hk,1,11/27/2023,152,152,piece,spray,,,,2,"['white', 'red']",['Text'],Y,writter,Hk
18,4,2023-11-27 13:11:56-08:00,2023-11-27 13:33:18-08:00,11/27/2023 As,1,11/27/2023,125,182,throwUp,spray,,,,2,"['black', 'white']",['Text'],Y,writter,As
19,4,2023-11-27 13:10:08-08:00,2023-11-27 13:33:17-08:00,11/27/2023 Loye,1,11/27/2023,368,174,piece,spray,,,,3-5,"['black', 'red', 'silver']",['Text'],Y,writter,Loye
20,5,2023-11-27 13:02:09-08:00,2023-11-27 13:02:57-08:00,11/27/2023 Tcees,1,11/27/2023,138,62,tag,spray,,,,1,['blue'],['Text'],Y,writter,Tcees
21,5,2023-11-27 13:00:43-08:00,2023-11-27 13:02:55-08:00,11/27/2023 216,1,11/27/2023,92,32,tag,spray,,,,1,['blue'],['Text'],Y,writter,216
22,5,2023-11-27 12:59:24-08:00,2023-11-27 13:02:53-08:00,11/27/2023 4kay,1,11/27/2023,69,34,tag,spray,,,,1,['white'],['Text'],Y,writter,4kay
23,5,2023-11-27 12:58:12-08:00,2023-11-27 13:02:51-08:00,11/27/2023 Solek,1,11/27/2023,71,32,tag,spray,,,,1,['green'],['Text'],Y,writter,Solek
24,5,2023-11-27 12:56:29-08:00,2023-11-27 13:02:49-08:00,11/27/2023,1,11/27/2023,70,36,tag,spray,,,,1,['yellow'],['Text'],N,,
25,5,2023-11-27 12:55:08-08:00,2023-11-27 13:02:47-08:00,11/27/2023 Apon,1,11/27/2023,94,41,tag,spray,,,,1,['pink'],['Text'],Y,writter,Apon
26,5,2023-11-27 12:53:29-08:00,2023-11-27 13:02:45-08:00,11/27/2023 Munt,1,11/27/2023,97,40,tag,spray,,,,1,['pink'],['Text'],Y,writter,Munt
27,5,2023-11-27 12:52:24-08:00,2023-11-27 13:02:43-08:00,11/27/2023 Pures,1,11/27/2023,92,45,tag,spray,,,,1,['pink'],['Text'],Y,writter,Pures
28,5,2023-11-27 12:50:46-08:00,2023-11-27 13:02:40-08:00,11/27/2023 Free,1,11/27/2023,362,78,tag,spray,,,,1,['white'],['Text'],Y,social,Free
29,5,2023-11-27 12:49:30-08:00,2023-11-27 13:02:39-08:00,11/27/2023 DEAS,2,11/27/2023,355,89,throwUp,spray,,,,2,"['black', 'white']",['Text'],Y,writter,DEAS
30,6,2023-11-27 10:56:25-08:00,2023-11-27 10:59:34-08:00,11/27/2023,1,11/27/2023,3,3,tag,marker,marker,chiseled,,1,['white'],['Text'],N,,
31,6,2023-11-27 10:55:52-08:00,2023-11-27 10:59:31-08:00,11/27/2023,1,11/27/2023,4,5,tag,marker,marker,chiseled,,1,['white'],['Text'],N,,
32,6,2023-11-27 10:55:09-08:00,2023-11-27 10:59:29-08:00,11/27/2023,1,11/27/2023,5,6,tag,marker,marker,chiseled,,1,['white'],"['Text', 'Image']",N,,
33,6,2023-11-27 10:54:20-08:00,2023-11-27 10:59:28-08:00,11/27/2023,1,11/27/2023,9,16,tag,marker,painstick/chalk,,,1,['white'],['Text'],N,,
34,6,2023-11-27 10:53:38-08:00,2023-11-27 10:59:25-08:00,11/27/2023 Meow,1,11/27/2023,6,3,tag,marker,painstick/chalk,,,1,['white'],['Text'],Y,writter,Meow
35,7,2023-11-27 10:50:52-08:00,2023-11-27 10:59:21-08:00,11/27/2023,1,11/27/2023,15,16,tag,marker,marker,chiseled,,1,['black'],['Text'],N,,
36,8,2023-11-27 10:46:43-08:00,2023-11-27 10:59:17-08:00,11/27/2023,1,11/27/2023,9,3,tag,marker,marker,chiseled,,1,['white'],['Text'],N,,
